customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,age_group,purchase_frequency_days
709,35,Male,Skirt,Clothing,89,South Carolina,M,Silver,Winter,5.0,No,Free Shipping,Yes,28,Credit Card,Monthly,Adult,30
2597,62,Male,Sweater,Clothing,38,West Virginia,L,Lavender,Summer,5.0,No,Express,Yes,4,Debit Card,Weekly,Senior,7
3339,30,Female,Socks,Clothing,80,Massachusetts,S,Yellow,Winter,5.0,No,Express,Yes,32,Debit Card,Weekly,Adult,7
3388,21,Male,Hat,Accessories,90,Alabama,M,Green,Summer,4.0,No,Express,Yes,13,PayPal,Bi-Weekly,Young Adult,14
336,25,Male,Belt,Accessories,23,Montana,XL,Brown,Summer,4.0,No,Free Shipping,Yes,17,Credit Card,Monthly,Young Adult,30
3382,62,Female,Sweater,Clothing,95,Pennsylvania,S,Pink,Winter,4.0,No,Free Shipping,Yes,31,Debit Card,Weekly,Senior,7
1200,69,Female,Dress,Clothing,91,California,L,Maroon,Winter,5.0,No,Express,Yes,11,PayPal,Annually,Senior,365
3817,63,Male,Handbag,Accessories,82,Texas,S,Black,Fall,4.0,Yes,Express,Yes,23,Credit Card,Weekly,Senior,7
3432,48,Female,Coat,Outerwear,95,North Dakota,M,Red,Winter,4.0,No,Express,Yes,17,Credit Card,Monthly,Middle Aged,30
1036,42,Female,Shoes,Footwear,84,Oklahoma,XL,Beige,Fall,5.0,No,Free Shipping,Yes,34,Debit Card,Monthly,Adult,30
1714,24,Female,Skirt,Clothing,86,Louisiana,S,Gold,Winter,4.0,No,2-Day Shipping,No,35,PayPal,Bi-Weekly,Young Adult,14
3540,22,Male,Coat,Outerwear,54,Pennsylvania,L,Orange,Spring,5.0,No,Express,Yes,33,PayPal,Bi-Weekly,Young Adult,14
230,30,Male,Jewelry,Accessories,62,Hawaii,M,Cyan,Summer,5.0,No,2-Day Shipping,No,37,Debit Card,Monthly,Adult,30
222,25,Male,Jeans,Clothing,100,Nevada,XL,Violet,Fall,5.0,Yes,Free Shipping,Yes,24,Credit Card,Monthly,Young Adult,30
2589,47,Male,Jacket,Outerwear,98,New Mexico,L,Beige,Spring,2.0,No,Standard,Yes,18,Credit Card,Monthly,Middle Aged,30
3096,40,Female,Pants,Clothing,34,Colorado,S,Orange,Spring,4.0,No,Standard,Yes,10,Credit Card,Bi-Weekly,Adult,14
1609,22,Female,Socks,Clothing,72,Tennessee,L,Magenta,Winter,2.0,No,Free Shipping,Yes,40,PayPal,Bi-Weekly,Young Adult,14
1848,27,Male,Pants,Clothing,38,Arizona,M,Blue,Summer,1.0,No,Express,Yes,7,Credit Card,Monthly,Young Adult,30
1961,49,Female,Gloves,Accessories,97,North Dakota,M,Magenta,Winter,1.0,No,Free Shipping,No,46,Credit Card,Bi-Weekly,Middle Aged,14
1539,45,Female,Pants,Clothing,51,Michigan,L,Magenta,Fall,4.0,No,Free Shipping,Yes,38,Debit Card,Bi-Weekly,Middle Aged,14
3281,57,Female,Handbag,Accessories,46,South Dakota,L,Lavender,Spring,2.0,Yes,Express,Yes,14,Debit Card,Weekly,Middle Aged,7
2704,68,Male,Skirt,Clothing,55,Wyoming,S,Lavender,Summer,2.0,No,Free Shipping,No,25,Credit Card,Monthly,Senior,30
3288,29,Male,Shirt,Clothing,39,Texas,XL,Maroon,Spring,2.0,No,Free Shipping,Yes,48,Debit Card,Monthly,Young Adult,30
323,28,Female,Belt,Accessories,39,Virginia,XL,Magenta,Fall,4.0,No,Express,Yes,42,Credit Card,Monthly,Young Adult,30
2293,57,Male,Hoodie,Clothing,97,Utah,L,Purple,Spring,5.0,No,2-Day Shipping,Yes,3,Credit Card,Weekly,Middle Aged,7
178,23,Male,Jacket,Outerwear,59,Texas,M,Black,Summer,4.0,No,Free Shipping,No,3,Credit Card,Annually,Young Adult,365
1752,67,Female,Handbag,Accessories,47,California,XL,Olive,Spring,4.0,Yes,Express,Yes,13,Credit Card,Monthly,Senior,30
1322,27,Female,Blouse,Clothing,73,North Dakota,L,Red,Fall,5.0,No,2-Day Shipping,No,15,Credit Card,Monthly,Young Adult,30
998,57,Male,Jacket,Outerwear,80,Michigan,S,Teal,Fall,1.0,No,Standard,No,14,PayPal,Bi-Weekly,Middle Aged,14
2726,60,Male,Hoodie,Clothing,80,Colorado,M,Black,Summer,5.0,Yes,Express,Yes,45,Credit Card,Monthly,Senior,30
1727,57,Male,Backpack,Accessories,47,Minnesota,L,Teal,Summer,4.0,Yes,2-Day Shipping,Yes,23,PayPal,Monthly,Middle Aged,30
822,25,Male,Belt,Accessories,78,Colorado,XL,Brown,Spring,5.0,No,2-Day Shipping,Yes,8,Credit Card,Weekly,Young Adult,7
2978,41,Male,Skirt,Clothing,51,Washington,M,Pink,Winter,5.0,No,Free Shipping,Yes,28,Credit Card,Monthly,Adult,30
172,68,Female,Hat,Accessories,99,Indiana,S,Turquoise,Spring,4.0,No,Express,Yes,30,PayPal,Monthly,Senior,30
1766,34,Male,Sunglasses,Accessories,38,South Carolina,M,Lavender,Summer,5.0,No,Express,Yes,3,PayPal,Bi-Weekly,Adult,14
3634,25,Female,Dress,Clothing,55,New Jersey,XL,Pink,Winter,3.0,No,Express,Yes,24,Credit Card,Bi-Weekly,Young Adult,14
2159,63,Female,Pants,Clothing,91,Alaska,L,Pink,Spring,3.0,Yes,2-Day Shipping,No,42,Debit Card,Monthly,Senior,30
2351,25,Female,Gloves,Accessories,92,West Virginia,XL,Olive,Spring,4.0,Yes,Free Shipping,Yes,13,PayPal,Monthly,Young Adult,30
2296,49,Male,Jeans,Clothing,59,Nevada,XL,Green,Spring,4.0,No,Free Shipping,Yes,15,Credit Card,Bi-Weekly,Middle Aged,14
1866,52,Male,Jacket,Outerwear,56,Maine,XL,Green,Spring,3.0,No,Express,Yes,6,Debit Card,Bi-Weekly,Middle Aged,14
1468,41,Male,Coat,Outerwear,72,Massachusetts,M,Yellow,Winter,4.0,No,Free Shipping,No,19,Credit Card,Weekly,Adult,7
3478,31,Female,Scarf,Accessories,69,Nebraska,L,Yellow,Fall,4.0,No,Store Pickup,Yes,11,Credit Card,Monthly,Adult,30
1278,31,Male,Dress,Clothing,72,Rhode Island,L,Gray,Winter,4.0,No,Standard,Yes,4,Credit Card,Weekly,Adult,7
3189,64,Female,Sunglasses,Accessories,40,Vermont,L,Purple,Fall,4.0,No,2-Day Shipping,Yes,23,Debit Card,Bi-Weekly,Senior,14
1426,24,Male,Jewelry,Accessories,65,Ohio,XL,Turquoise,Winter,4.0,No,Free Shipping,Yes,29,Credit Card,Bi-Weekly,Young Adult,14
580,59,Male,Belt,Accessories,30,Mississippi,M,Olive,Spring,4.0,No,Express,Yes,44,Debit Card,Annually,Middle Aged,365
2894,63,Male,Jacket,Outerwear,48,North Dakota,L,Maroon,Summer,5.0,Yes,Free Shipping,Yes,21,Credit Card,Bi-Weekly,Senior,14
2720,43,Female,Blouse,Clothing,87,Missouri,M,Blue,Winter,5.0,No,2-Day Shipping,Yes,40,Credit Card,Annually,Adult,365
1922,55,Male,Dress,Clothing,58,Oklahoma,S,Magenta,Spring,3.0,Yes,Standard,Yes,31,Debit Card,Bi-Weekly,Middle Aged,14
2775,41,Male,Sunglasses,Accessories,36,Vermont,S,Gold,Fall,4.0,No,Free Shipping,Yes,43,Debit Card,Monthly,Adult,30
539,63,Female,Backpack,Accessories,41,Illinois,M,Red,Winter,5.0,No,Express,Yes,34,Credit Card,Weekly,Senior,7
2907,36,Male,Socks,Clothing,70,Washington,M,Red,Winter,4.0,No,Free Shipping,Yes,14,PayPal,Weekly,Adult,7
2022,51,Male,T-shirt,Clothing,32,Massachusetts,L,Lavender,Summer,5.0,Yes,2-Day Shipping,Yes,25,Debit Card,Monthly,Middle Aged,30
1385,22,Male,Backpack,Accessories,49,Arkansas,S,White,Spring,4.0,No,Free Shipping,Yes,30,Credit Card,Weekly,Young Adult,7
2227,59,Female,Hoodie,Clothing,78,Washington,XL,White,Winter,1.0,No,Free Shipping,Yes,40,Credit Card,Monthly,Middle Aged,30
3562,51,Male,Sneakers,Footwear,64,South Carolina,XL,Purple,Fall,5.0,No,Express,Yes,13,Credit Card,Bi-Weekly,Middle Aged,14
1058,70,Male,Boots,Footwear,35,Idaho,L,Brown,Summer,4.0,No,2-Day Shipping,Yes,45,Debit Card,Monthly,Senior,30
572,34,Male,Belt,Accessories,30,Georgia,XL,Orange,Winter,5.0,No,Standard,Yes,9,Credit Card,Monthly,Adult,30
2494,53,Female,Pants,Clothing,40,New Jersey,S,Teal,Spring,4.0,Yes,Express,Yes,34,Credit Card,Monthly,Middle Aged,30
2550,19,Male,Shoes,Footwear,39,Maryland,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,18,Credit Card,Monthly,Young Adult,30
2122,39,Female,Blouse,Clothing,87,Nebraska,S,Yellow,Fall,5.0,No,2-Day Shipping,Yes,44,PayPal,Annually,Adult,365
2311,24,Male,Jacket,Outerwear,23,Nevada,XL,Turquoise,Winter,5.0,Yes,Free Shipping,Yes,22,Credit Card,Monthly,Young Adult,30
3130,24,Male,Scarf,Accessories,95,Indiana,XL,Black,Winter,4.0,Yes,Store Pickup,Yes,38,Credit Card,Monthly,Young Adult,30
3644,18,Male,Jacket,Outerwear,94,Florida,S,Purple,Summer,5.0,No,Free Shipping,Yes,37,Credit Card,Weekly,Young Adult,7
3129,58,Male,Sandals,Footwear,99,Colorado,M,Lavender,Spring,4.0,Yes,Free Shipping,Yes,22,Credit Card,Monthly,Middle Aged,30
1771,62,Male,Backpack,Accessories,81,Nebraska,XL,Magenta,Summer,5.0,No,Standard,Yes,17,Credit Card,Monthly,Senior,30
1073,25,Female,T-shirt,Clothing,76,California,L,Teal,Summer,5.0,No,2-Day Shipping,Yes,29,Credit Card,Monthly,Young Adult,30
177,67,Male,Dress,Clothing,89,Missouri,XL,White,Winter,5.0,No,Express,Yes,21,Credit Card,Monthly,Senior,30
108,19,Female,Scarf,Accessories,91,Illinois,M,Turquoise,Spring,4.0,Yes,Free Shipping,Yes,33,Credit Card,Monthly,Young Adult,30
2181,60,Female,Shorts,Clothing,87,Louisiana,S,Gold,Spring,3.0,No,Express,Yes,30,Apple Pay,Monthly,Senior,30
2634,58,Female,Blouse,Clothing,100,Nebraska,XL,Violet,Winter,3.0,No,Free Shipping,Yes,50,Debit Card,Weekly,Middle Aged,7
3475,56,Male,Shirt,Clothing,60,Delaware,L,Blue,Fall,5.0,No,Express,Yes,27,Credit Card,Monthly,Middle Aged,30
64,52,Male,Sunglasses,Accessories,85,Texas,S,Gold,Summer,5.0,No,Standard,Yes,45,Debit Card,Monthly,Middle Aged,30
685,52,Male,Sunglasses,Accessories,42,Missouri,M,Red,Summer,1.0,Yes,Express,Yes,27,Debit Card,Bi-Weekly,Middle Aged,14
2554,49,Female,Jacket,Outerwear,98,Michigan,L,Yellow,Winter,1.0,No,Standard,Yes,29,Credit Card,Monthly,Middle Aged,30
2383,62,Male,Belt,Accessories,29,New Mexico,M,Cyan,Fall,5.0,Yes,Standard,No,16,PayPal,Monthly,Senior,30
1702,25,Female,Shoes,Footwear,35,New Hampshire,L,Cyan,Fall,2.0,No,2-Day Shipping,Yes,46,Credit Card,Weekly,Young Adult,7
1073,44,Female,Hat,Accessories,89,California,M,Gold,Summer,4.0,No,Standard,Yes,4,Debit Card,Monthly,Adult,30
2567,30,Female,Jacket,Outerwear,32,Montana,XL,Silver,Spring,4.0,No,Standard,Yes,49,Debit Card,Monthly,Adult,30
3507,32,Female,Sweater,Clothing,39,Colorado,XL,Purple,Fall,4.0,No,Free Shipping,Yes,28,Credit Card,Monthly,Adult,30
187,69,Female,Coat,Outerwear,44,Maryland,XL,Lavender,Spring,5.0,No,Free Shipping,Yes,50,Debit Card,Annually,Senior,365
70,27,Male,Sandals,Footwear,78,New York,L,White,Summer,4.0,No,Free Shipping,Yes,12,Debit Card,Annually,Young Adult,365
3204,67,Female,Handbag,Accessories,88,Delaware,S,Gold,Spring,5.0,No,2-Day Shipping,Yes,26,Apple Pay,Annually,Senior,365
1990,30,Male,Jeans,Clothing,51,Louisiana,L,Purple,Winter,3.0,No,2-Day Shipping,Yes,10,Credit Card,Monthly,Adult,30
2133,70,Male,Backpack,Accessories,85,Rhode Island,M,Green,Winter,4.0,No,Store Pickup,Yes,16,Credit Card,Weekly,Senior,7
2214,68,Female,Belt,Accessories,59,New Jersey,L,Olive,Spring,2.0,No,2-Day Shipping,Yes,15,Debit Card,Annually,Senior,365
379,33,Male,Belt,Accessories,27,Mississippi,L,Yellow,Summer,4.0,No,2-Day Shipping,Yes,28,Credit Card,Bi-Weekly,Adult,14
698,35,Female,Socks,Clothing,48,Indiana,M,Violet,Winter,3.0,No,2-Day Shipping,Yes,18,PayPal,Monthly,Adult,30
3864,25,Male,Sunglasses,Accessories,75,South Dakota,L,Blue,Winter,4.0,Yes,Free Shipping,Yes,31,Debit Card,Monthly,Young Adult,30
842,19,Male,Belt,Accessories,84,Oklahoma,XL,Cyan,Winter,4.0,No,Express,Yes,2,Credit Card,Weekly,Young Adult,7
3087,40,Male,Sunglasses,Accessories,37,Alabama,L,Orange,Winter,5.0,No,Express,Yes,39,Debit Card,Monthly,Adult,30
2653,18,Male,Boots,Footwear,80,Mississippi,S,Teal,Fall,2.0,No,Express,Yes,15,Credit Card,Weekly,Young Adult,7
3794,26,Female,Skirt,Clothing,61,Pennsylvania,S,Indigo,Winter,4.0,Yes,2-Day Shipping,Yes,28,Debit Card,Monthly,Young Adult,30
1000,39,Female,Socks,Clothing,93,Maryland,S,Maroon,Winter,3.0,No,Express,Yes,28,Apple Pay,Monthly,Adult,30
3261,25,Male,Sneakers,Footwear,52,Washington,L,Olive,Summer,5.0,No,Free Shipping,Yes,23,Credit Card,Weekly,Young Adult,7
1533,19,Male,Skirt,Clothing,68,Kentucky,M,Turquoise,Winter,5.0,No,Express,Yes,4,Credit Card,Monthly,Young Adult,30
3834,35,Female,Hoodie,Clothing,70,Connecticut,XL,Purple,Spring,5.0,Yes,2-Day Shipping,Yes,14,Credit Card,Bi-Weekly,Adult,14
466,31,Male,Socks,Clothing,52,Mississippi,S,Gold,Winter,5.0,No,2-Day Shipping,Yes,2,Debit Card,Monthly,Adult,30
2616,48,Male,Shorts,Clothing,21,Texas,S,Pink,Spring,5.0,No,Express,Yes,27,PayPal,Monthly,Middle Aged,30
3062,24,Female,Coat,Outerwear,54,New Hampshire,L,Gray,Summer,5.0,No,2-Day Shipping,Yes,30,Credit Card,Bi-Weekly,Young Adult,14
1574,47,Male,Hat,Accessories,48,Kansas,S,Brown,Spring,4.0,No,Free Shipping,Yes,24,Debit Card,Monthly,Middle Aged,30
3521,28,Female,Belt,Accessories,84,New Jersey,XL,Peach,Spring,5.0,No,Express,Yes,20,Credit Card,Monthly,Young Adult,30
1173,57,Male,Sneakers,Footwear,22,Utah,S,Beige,Spring,5.0,Yes,Free Shipping,No,32,Apple Pay,Bi-Weekly,Middle Aged,14
2219,55,Male,Boots,Footwear,73,Arkansas,XL,Silver,Fall,5.0,No,Free Shipping,No,33,PayPal,Monthly,Middle Aged,30
2807,65,Female,Pants,Clothing,34,Louisiana,L,Blue,Spring,1.0,Yes,Express,Yes,5,Debit Card,Weekly,Senior,7
1130,68,Female,Sneakers,Footwear,36,New Jersey,L,Yellow,Spring,5.0,Yes,Next Day Air,Yes,31,PayPal,Monthly,Senior,30
3376,35,Male,Boots,Footwear,49,Utah,M,Blue,Fall,4.0,No,Free Shipping,Yes,30,Apple Pay,Monthly,Adult,30
150,67,Female,Backpack,Accessories,77,Montana,S,Peach,Winter,5.0,Yes,Free Shipping,Yes,17,Credit Card,Bi-Weekly,Senior,14
1054,51,Male,Jeans,Clothing,86,Ohio,M,Gold,Fall,5.0,No,Express,Yes,31,Credit Card,Annually,Middle Aged,365
2309,62,Male,Pants,Clothing,51,Kentucky,M,Peach,Spring,4.0,No,Express,Yes,43,Credit Card,Monthly,Senior,30
391,49,Female,Backpack,Accessories,68,Virginia,M,Blue,Spring,4.0,Yes,2-Day Shipping,Yes,38,Apple Pay,Annually,Middle Aged,365
2151,67,Male,Sunglasses,Accessories,73,Maryland,L,Red,Spring,4.0,No,Express,Yes,32,Credit Card,Monthly,Senior,30
1328,25,Male,Jeans,Clothing,23,South Dakota,XL,Olive,Spring,1.0,Yes,Store Pickup,Yes,31,PayPal,Monthly,Young Adult,30
415,21,Male,Pants,Clothing,95,Indiana,L,Black,Fall,2.0,No,Free Shipping,Yes,36,Debit Card,Monthly,Young Adult,30
1589,67,Male,Jacket,Outerwear,74,Virginia,L,Maroon,Winter,5.0,No,Free Shipping,Yes,38,Debit Card,Monthly,Senior,30
