Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
2485,70,Female,Dress,Clothing,25,Illinois,L,Gray,Fall,2.0,No,Store Pickup,Yes,Yes,41,Credit Card,Monthly
864,22,Female,Coat,Outerwear,90,Kansas,S,Silver,Winter,2.0,No,Free Shipping,Yes,Yes,13,Debit Card,Weekly
3280,25,Male,Hoodie,Clothing,48,West Virginia,XL,Gray,Summer,5.0,No,Store Pickup,Yes,Yes,30,PayPal,Bi-Weekly
582,21,Male,Jacket,Outerwear,37,Illinois,L,Lavender,Fall,5.0,No,Store Pickup,No,No,43,Credit Card,Monthly
2283,23,Male,Pants,Clothing,22,New Mexico,M,Pink,Winter,5.0,No,Express,Yes,Yes,36,Debit Card,Monthly
3157,58,Female,Handbag,Accessories,36,Hawaii,XL,Indigo,Summer,3.0,No,Standard,Yes,Yes,44,Debit Card,Monthly
1559,57,Male,Blouse,Clothing,78,Missouri,XL,Yellow,Winter,4.0,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Weekly
638,62,Male,Sweater,Clothing,40,North Carolina,M,Indigo,Winter,2.0,No,2-Day Shipping,Yes,Yes,1,Credit Card,Monthly
2108,18,Male,Sandals,Footwear,95,Indiana,XL,Orange,Summer,5.0,Yes,Free Shipping,Yes,Yes,48,Credit Card,Annually
3770,53,Male,Dress,Clothing,72,Arizona,S,Indigo,Fall,5.0,Yes,Next Day Air,No,No,24,PayPal,Monthly
1960,42,Female,Hat,Accessories,100,North Dakota,S,Brown,Winter,2.0,No,2-Day Shipping,Yes,Yes,41,Debit Card,Monthly
396,33,Female,Pants,Clothing,34,Washington,L,Purple,Fall,4.0,No,Standard,Yes,Yes,31,Credit Card,Monthly
1718,21,Female,Shirt,Clothing,69,Nevada,M,Red,Fall,3.0,Yes,Free Shipping,Yes,Yes,6,Credit Card,Monthly
2896,59,Female,Backpack,Accessories,79,Nevada,L,Gold,Winter,4.0,Yes,Free Shipping,Yes,Yes,9,PayPal,Annually
3883,27,Male,Belt,Accessories,66,Massachusetts,XL,Magenta,Winter,1.0,No,2-Day Shipping,Yes,Yes,32,Gift Card,Monthly
27,55,Male,Jacket,Outerwear,40,Wisconsin,M,Green,Summer,1.0,No,Express,Yes,Yes,24,PayPal,Monthly
3675,51,Female,Shirt,Clothing,47,Ohio,M,Indigo,Spring,5.0,No,2-Day Shipping,Yes,Yes,11,PayPal,Monthly
3346,39,Female,Sweater,Clothing,41,Indiana,L,Brown,Fall,4.0,No,2-Day Shipping,Yes,Yes,16,Credit Card,Weekly
662,33,Male,Sneakers,Footwear,83,Colorado,XL,Orange,Summer,5.0,No,2-Day Shipping,No,No,6,Debit Card,Monthly
1059,47,Male,Sunglasses,Accessories,82,Hawaii,M,Beige,Fall,4.0,No,Standard,Yes,Yes,48,Credit Card,Weekly
775,60,Female,Handbag,Accessories,27,South Carolina,M,Green,Spring,5.0,No,Free Shipping,Yes,Yes,23,Debit Card,Bi-Weekly
461,66,Female,Backpack,Accessories,50,North Carolina,S,Charcoal,Summer,4.0,No,2-Day Shipping,Yes,Yes,46,Debit Card,Monthly
3895,37,Female,Socks,Clothing,31,Washington,L,Brown,Fall,4.0,Yes,Store Pickup,Yes,Yes,20,Credit Card,Monthly
3775,21,Male,Backpack,Accessories,31,Kentucky,M,Brown,Winter,5.0,No,Free Shipping,No,No,31,Debit Card,Weekly
1006,40,Male,Shoes,Footwear,42,Vermont,S,Magenta,Winter,2.0,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually
642,25,Male,Scarf,Accessories,93,Michigan,XL,Cyan,Summer,5.0,No,Free Shipping,Yes,Yes,35,Credit Card,Weekly
745,66,Male,Jewelry,Accessories,44,Alabama,L,Gold,Fall,1.0,No,Free Shipping,Yes,Yes,33,Credit Card,Bi-Weekly
223,57,Female,Belt,Accessories,37,Nevada,XL,Yellow,Summer,5.0,No,Free Shipping,Yes,Yes,33,Debit Card,Bi-Weekly
2153,55,Female,Sandals,Footwear,89,New Mexico,L,Blue,Spring,4.0,No,Free Shipping,Yes,Yes,17,Credit Card,Monthly
1511,20,Male,Shirt,Clothing,78,Hawaii,S,Beige,Winter,4.0,No,Express,Yes,Yes,22,Apple Pay,Bi-Weekly
2949,64,Female,Socks,Clothing,42,Idaho,L,Gray,Spring,5.0,No,Store Pickup,Yes,Yes,13,PayPal,Monthly
1798,49,Female,Gloves,Accessories,38,Minnesota,L,Red,Spring,4.0,No,2-Day Shipping,Yes,Yes,42,Debit Card,Annually
323,63,Male,T-shirt,Clothing,55,Minnesota,S,White,Winter,4.0,No,Free Shipping,Yes,Yes,22,Credit Card,Monthly
3768,60,Female,Shoes,Footwear,33,Oregon,XL,Beige,Winter,5.0,No,2-Day Shipping,No,No,20,Credit Card,Monthly
524,64,Male,Hat,Accessories,77,Indiana,L,Yellow,Spring,4.0,No,Express,Yes,Yes,3,Credit Card,Monthly
1293,70,Female,Boots,Footwear,48,Wisconsin,M,Blue,Summer,5.0,Yes,2-Day Shipping,Yes,Yes,20,Debit Card,Annually
3765,49,Female,Shirt,Clothing,35,Wyoming,XL,Gold,Spring,4.0,No,Free Shipping,Yes,Yes,9,Debit Card,Annually
1133,21,Female,Sandals,Footwear,32,Delaware,S,Yellow,Summer,3.0,Yes,Free Shipping,Yes,Yes,24,Credit Card,Bi-Weekly
2104,59,Female,Scarf,Accessories,46,Arizona,S,Magenta,Summer,4.0,Yes,Free Shipping,Yes,Yes,33,PayPal,Monthly
3713,33,Male,Pants,Clothing,81,Kentucky,XL,Silver,Spring,3.0,No,Express,Yes,Yes,22,Debit Card,Annually
1246,22,Female,Jewelry,Accessories,41,Pennsylvania,S,Teal,Winter,5.0,Yes,Store Pickup,Yes,Yes,5,Credit Card,Bi-Weekly
77,48,Male,Backpack,Accessories,93,New Mexico,M,Peach,Summer,5.0,No,Free Shipping,No,No,34,PayPal,Monthly
3783,66,Male,Pants,Clothing,96,Delaware,XL,Yellow,Spring,1.0,No,Free Shipping,Yes,Yes,46,Debit Card,Annually
474,33,Female,Scarf,Accessories,40,South Dakota,L,Purple,Summer,2.0,Yes,Free Shipping,Yes,Yes,4,Debit Card,Monthly
96,20,Female,Handbag,Accessories,92,Arizona,M,Maroon,Winter,4.0,No,Standard,No,No,27,Debit Card,Monthly
3557,41,Male,Pants,Clothing,37,Louisiana,L,Green,Spring,3.0,Yes,Standard,Yes,Yes,42,Credit Card,Annually
1548,24,Male,Sneakers,Footwear,79,Kentucky,M,Beige,Spring,5.0,No,Standard,Yes,Yes,44,Credit Card,Monthly
338,59,Female,Jewelry,Accessories,29,Michigan,M,Blue,Winter,4.0,No,Express,No,No,19,Credit Card,Weekly
1935,68,Male,Coat,Outerwear,82,Delaware,L,Teal,Fall,1.0,No,Free Shipping,Yes,Yes,10,Debit Card,Weekly
2,19,Female,Sweater,Clothing,71,West Virginia,XL,Charcoal,Winter,4.0,No,Free Shipping,Yes,Yes,29,Gift Card,Bi-Weekly
2819,70,Female,T-shirt,Clothing,44,Rhode Island,L,Teal,Winter,5.0,No,Store Pickup,Yes,Yes,28,Credit Card,Monthly
3497,53,Male,Sunglasses,Accessories,48,Colorado,S,Yellow,Spring,3.0,No,Standard,Yes,Yes,25,Credit Card,Monthly
1171,25,Male,Sandals,Footwear,30,Missouri,S,Violet,Fall,5.0,No,Store Pickup,Yes,Yes,49,Debit Card,Weekly
3650,60,Male,Shorts,Clothing,72,New Mexico,M,Pink,Spring,5.0,No,2-Day Shipping,Yes,Yes,11,Apple Pay,Weekly
1293,25,Female,Skirt,Clothing,65,Delaware,S,Charcoal,Winter,5.0,No,Standard,Yes,Yes,33,PayPal,Weekly
1576,65,Male,Shoes,Footwear,57,Pennsylvania,M,Maroon,Winter,4.0,No,Express,Yes,Yes,3,Credit Card,Monthly
2536,51,Male,Scarf,Accessories,27,Virginia,M,Brown,Winter,5.0,No,Express,Yes,Yes,25,Debit Card,Monthly
709,35,Male,Skirt,Clothing,89,South Carolina,M,Silver,Winter,5.0,No,Free Shipping,Yes,Yes,28,Credit Card,Monthly
2597,62,Male,Sweater,Clothing,38,West Virginia,L,Lavender,Summer,5.0,No,Express,Yes,Yes,4,Debit Card,Weekly
3339,30,Female,Socks,Clothing,80,Massachusetts,S,Yellow,Winter,5.0,No,Express,Yes,Yes,32,Debit Card,Weekly
3388,21,Male,Hat,Accessories,90,Alabama,M,Green,Summer,4.0,No,Express,Yes,Yes,13,PayPal,Bi-Weekly
336,25,Male,Belt,Accessories,23,Montana,XL,Brown,Summer,4.0,No,Free Shipping,Yes,Yes,17,Credit Card,Monthly
3382,62,Female,Sweater,Clothing,95,Pennsylvania,S,Pink,Winter,4.0,No,Free Shipping,Yes,Yes,31,Debit Card,Weekly
1200,69,Female,Dress,Clothing,91,California,L,Maroon,Winter,5.0,No,Express,Yes,Yes,11,PayPal,Annually
3817,63,Male,Handbag,Accessories,82,Texas,S,Black,Fall,4.0,Yes,Express,Yes,Yes,23,Credit Card,Weekly
3432,48,Female,Coat,Outerwear,95,North Dakota,M,Red,Winter,4.0,No,Express,Yes,Yes,17,Credit Card,Monthly
1036,42,Female,Shoes,Footwear,84,Oklahoma,XL,Beige,Fall,5.0,No,Free Shipping,Yes,Yes,34,Debit Card,Monthly
1714,24,Female,Skirt,Clothing,86,Louisiana,S,Gold,Winter,4.0,No,2-Day Shipping,No,No,35,PayPal,Bi-Weekly
3540,22,Male,Coat,Outerwear,54,Pennsylvania,L,Orange,Spring,5.0,No,Express,Yes,Yes,33,PayPal,Bi-Weekly
230,30,Male,Jewelry,Accessories,62,Hawaii,M,Cyan,Summer,5.0,No,2-Day Shipping,No,No,37,Debit Card,Monthly
222,25,Male,Jeans,Clothing,100,Nevada,XL,Violet,Fall,5.0,Yes,Free Shipping,Yes,Yes,24,Credit Card,Monthly
2589,47,Male,Jacket,Outerwear,98,New Mexico,L,Beige,Spring,2.0,No,Standard,Yes,Yes,18,Credit Card,Monthly
3096,40,Female,Pants,Clothing,34,Colorado,S,Orange,Spring,4.0,No,Standard,Yes,Yes,10,Credit Card,Bi-Weekly
1609,22,Female,Socks,Clothing,72,Tennessee,L,Magenta,Winter,2.0,No,Free Shipping,Yes,Yes,40,PayPal,Bi-Weekly
1848,27,Male,Pants,Clothing,38,Arizona,M,Blue,Summer,1.0,No,Express,Yes,Yes,7,Credit Card,Monthly
1961,49,Female,Gloves,Accessories,97,North Dakota,M,Magenta,Winter,1.0,No,Free Shipping,No,No,46,Credit Card,Bi-Weekly
1539,45,Female,Pants,Clothing,51,Michigan,L,Magenta,Fall,4.0,No,Free Shipping,Yes,Yes,38,Debit Card,Bi-Weekly
3281,57,Female,Handbag,Accessories,46,South Dakota,L,Lavender,Spring,2.0,Yes,Express,Yes,Yes,14,Debit Card,Weekly
2704,68,Male,Skirt,Clothing,55,Wyoming,S,Lavender,Summer,2.0,No,Free Shipping,No,No,25,Credit Card,Monthly
3288,29,Male,Shirt,Clothing,39,Texas,XL,Maroon,Spring,2.0,No,Free Shipping,Yes,Yes,48,Debit Card,Monthly
323,28,Female,Belt,Accessories,39,Virginia,XL,Magenta,Fall,4.0,No,Express,Yes,Yes,42,Credit Card,Monthly
2293,57,Male,Hoodie,Clothing,97,Utah,L,Purple,Spring,5.0,No,2-Day Shipping,Yes,Yes,3,Credit Card,Weekly
178,23,Male,Jacket,Outerwear,59,Texas,M,Black,Summer,4.0,No,Free Shipping,No,No,3,Credit Card,Annually
1752,67,Female,Handbag,Accessories,47,California,XL,Olive,Spring,4.0,Yes,Express,Yes,Yes,13,Credit Card,Monthly
1322,27,Female,Blouse,Clothing,73,North Dakota,L,Red,Fall,5.0,No,2-Day Shipping,No,No,15,Credit Card,Monthly
998,57,Male,Jacket,Outerwear,80,Michigan,S,Teal,Fall,1.0,No,Standard,No,No,14,PayPal,Bi-Weekly
2726,60,Male,Hoodie,Clothing,80,Colorado,M,Black,Summer,5.0,Yes,Express,Yes,Yes,45,Credit Card,Monthly
1727,57,Male,Backpack,Accessories,47,Minnesota,L,Teal,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,23,PayPal,Monthly
822,25,Male,Belt,Accessories,78,Colorado,XL,Brown,Spring,5.0,No,2-Day Shipping,Yes,Yes,8,Credit Card,Weekly
2978,41,Male,Skirt,Clothing,51,Washington,M,Pink,Winter,5.0,No,Free Shipping,Yes,Yes,28,Credit Card,Monthly
172,68,Female,Hat,Accessories,99,Indiana,S,Turquoise,Spring,4.0,No,Express,Yes,Yes,30,PayPal,Monthly
1766,34,Male,Sunglasses,Accessories,38,South Carolina,M,Lavender,Summer,5.0,No,Express,Yes,Yes,3,PayPal,Bi-Weekly
3634,25,Female,Dress,Clothing,55,New Jersey,XL,Pink,Winter,3.0,No,Express,Yes,Yes,24,Credit Card,Bi-Weekly
2159,63,Female,Pants,Clothing,91,Alaska,L,Pink,Spring,3.0,Yes,2-Day Shipping,No,No,42,Debit Card,Monthly
2351,25,Female,Gloves,Accessories,92,West Virginia,XL,Olive,Spring,4.0,Yes,Free Shipping,Yes,Yes,13,PayPal,Monthly
2296,49,Male,Jeans,Clothing,59,Nevada,XL,Green,Spring,4.0,No,Free Shipping,Yes,Yes,15,Credit Card,Bi-Weekly
1866,52,Male,Jacket,Outerwear,56,Maine,XL,Green,Spring,3.0,No,Express,Yes,Yes,6,Debit Card,Bi-Weekly
1468,41,Male,Coat,Outerwear,72,Massachusetts,M,Yellow,Winter,4.0,No,Free Shipping,No,No,19,Credit Card,Weekly
3478,31,Female,Scarf,Accessories,69,Nebraska,L,Yellow,Fall,4.0,No,Store Pickup,Yes,Yes,11,Credit Card,Monthly
1278,31,Male,Dress,Clothing,72,Rhode Island,L,Gray,Winter,4.0,No,Standard,Yes,Yes,4,Credit Card,Weekly
3189,64,Female,Sunglasses,Accessories,40,Vermont,L,Purple,Fall,4.0,No,2-Day Shipping,Yes,Yes,23,Debit Card,Bi-Weekly
1426,24,Male,Jewelry,Accessories,65,Ohio,XL,Turquoise,Winter,4.0,No,Free Shipping,Yes,Yes,29,Credit Card,Bi-Weekly
580,59,Male,Belt,Accessories,30,Mississippi,M,Olive,Spring,4.0,No,Express,Yes,Yes,44,Debit Card,Annually
2894,63,Male,Jacket,Outerwear,48,North Dakota,L,Maroon,Summer,5.0,Yes,Free Shipping,Yes,Yes,21,Credit Card,Bi-Weekly
2720,43,Female,Blouse,Clothing,87,Missouri,M,Blue,Winter,5.0,No,2-Day Shipping,Yes,Yes,40,Credit Card,Annually
1922,55,Male,Dress,Clothing,58,Oklahoma,S,Magenta,Spring,3.0,Yes,Standard,Yes,Yes,31,Debit Card,Bi-Weekly
2775,41,Male,Sunglasses,Accessories,36,Vermont,S,Gold,Fall,4.0,No,Free Shipping,Yes,Yes,43,Debit Card,Monthly
539,63,Female,Backpack,Accessories,41,Illinois,M,Red,Winter,5.0,No,Express,Yes,Yes,34,Credit Card,Weekly
2907,36,Male,Socks,Clothing,70,Washington,M,Red,Winter,4.0,No,Free Shipping,Yes,Yes,14,PayPal,Weekly
2022,51,Male,T-shirt,Clothing,32,Massachusetts,L,Lavender,Summer,5.0,Yes,2-Day Shipping,Yes,Yes,25,Debit Card,Monthly
1385,22,Male,Backpack,Accessories,49,Arkansas,S,White,Spring,4.0,No,Free Shipping,Yes,Yes,30,Credit Card,Weekly
2227,59,Female,Hoodie,Clothing,78,Washington,XL,White,Winter,1.0,No,Free Shipping,Yes,Yes,40,Credit Card,Monthly
3562,51,Male,Sneakers,Footwear,64,South Carolina,XL,Purple,Fall,5.0,No,Express,Yes,Yes,13,Credit Card,Bi-Weekly
1058,70,Male,Boots,Footwear,35,Idaho,L,Brown,Summer,4.0,No,2-Day Shipping,Yes,Yes,45,Debit Card,Monthly
572,34,Male,Belt,Accessories,30,Georgia,XL,Orange,Winter,5.0,No,Standard,Yes,Yes,9,Credit Card,Monthly
2494,53,Female,Pants,Clothing,40,New Jersey,S,Teal,Spring,4.0,Yes,Express,Yes,Yes,34,Credit Card,Monthly
2550,19,Male,Shoes,Footwear,39,Maryland,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,Yes,18,Credit Card,Monthly
2122,39,Female,Blouse,Clothing,87,Nebraska,S,Yellow,Fall,5.0,No,2-Day Shipping,Yes,Yes,44,PayPal,Annually
2311,24,Male,Jacket,Outerwear,23,Nevada,XL,Turquoise,Winter,5.0,Yes,Free Shipping,Yes,Yes,22,Credit Card,Monthly
3130,24,Male,Scarf,Accessories,95,Indiana,XL,Black,Winter,4.0,Yes,Store Pickup,Yes,Yes,38,Credit Card,Monthly
3644,18,Male,Jacket,Outerwear,94,Florida,S,Purple,Summer,5.0,No,Free Shipping,Yes,Yes,37,Credit Card,Weekly
3129,58,Male,Sandals,Footwear,99,Colorado,M,Lavender,Spring,4.0,Yes,Free Shipping,Yes,Yes,22,Credit Card,Monthly
1771,62,Male,Backpack,Accessories,81,Nebraska,XL,Magenta,Summer,5.0,No,Standard,Yes,Yes,17,Credit Card,Monthly
1073,25,Female,T-shirt,Clothing,76,California,L,Teal,Summer,5.0,No,2-Day Shipping,Yes,Yes,29,Credit Card,Monthly
177,67,Male,Dress,Clothing,89,Missouri,XL,White,Winter,5.0,No,Express,Yes,Yes,21,Credit Card,Monthly
108,19,Female,Scarf,Accessories,91,Illinois,M,Turquoise,Spring,4.0,Yes,Free Shipping,Yes,Yes,33,Credit Card,Monthly
2181,60,Female,Shorts,Clothing,87,Louisiana,S,Gold,Spring,3.0,No,Express,Yes,Yes,30,Apple Pay,Monthly
2634,58,Female,Blouse,Clothing,100,Nebraska,XL,Violet,Winter,3.0,No,Free Shipping,Yes,Yes,50,Debit Card,Weekly
3475,56,Male,Shirt,Clothing,60,Delaware,L,Blue,Fall,5.0,No,Express,Yes,Yes,27,Credit Card,Monthly
64,52,Male,Sunglasses,Accessories,85,Texas,S,Gold,Summer,5.0,No,Standard,Yes,Yes,45,Debit Card,Monthly
685,52,Male,Sunglasses,Accessories,42,Missouri,M,Red,Summer,1.0,Yes,Express,Yes,Yes,27,Debit Card,Bi-Weekly
2554,49,Female,Jacket,Outerwear,98,Michigan,L,Yellow,Winter,1.0,No,Standard,Yes,Yes,29,Credit Card,Monthly
2383,62,Male,Belt,Accessories,29,New Mexico,M,Cyan,Fall,5.0,Yes,Standard,No,No,16,PayPal,Monthly
1702,25,Female,Shoes,Footwear,35,New Hampshire,L,Cyan,Fall,2.0,No,2-Day Shipping,Yes,Yes,46,Credit Card,Weekly
1073,44,Female,Hat,Accessories,89,California,M,Gold,Summer,4.0,No,Standard,Yes,Yes,4,Debit Card,Monthly
2567,30,Female,Jacket,Outerwear,32,Montana,XL,Silver,Spring,4.0,No,Standard,Yes,Yes,49,Debit Card,Monthly
3507,32,Female,Sweater,Clothing,39,Colorado,XL,Purple,Fall,4.0,No,Free Shipping,Yes,Yes,28,Credit Card,Monthly
187,69,Female,Coat,Outerwear,44,Maryland,XL,Lavender,Spring,5.0,No,Free Shipping,Yes,Yes,50,Debit Card,Annually
70,27,Male,Sandals,Footwear,78,New York,L,White,Summer,4.0,No,Free Shipping,Yes,Yes,12,Debit Card,Annually
3204,67,Female,Handbag,Accessories,88,Delaware,S,Gold,Spring,5.0,No,2-Day Shipping,Yes,Yes,26,Apple Pay,Annually
1990,30,Male,Jeans,Clothing,51,Louisiana,L,Purple,Winter,3.0,No,2-Day Shipping,Yes,Yes,10,Credit Card,Monthly
2133,70,Male,Backpack,Accessories,85,Rhode Island,M,Green,Winter,4.0,No,Store Pickup,Yes,Yes,16,Credit Card,Weekly
2214,68,Female,Belt,Accessories,59,New Jersey,L,Olive,Spring,2.0,No,2-Day Shipping,Yes,Yes,15,Debit Card,Annually
379,33,Male,Belt,Accessories,27,Mississippi,L,Yellow,Summer,4.0,No,2-Day Shipping,Yes,Yes,28,Credit Card,Bi-Weekly
698,35,Female,Socks,Clothing,48,Indiana,M,Violet,Winter,3.0,No,2-Day Shipping,Yes,Yes,18,PayPal,Monthly
3864,25,Male,Sunglasses,Accessories,75,South Dakota,L,Blue,Winter,4.0,Yes,Free Shipping,Yes,Yes,31,Debit Card,Monthly
842,19,Male,Belt,Accessories,84,Oklahoma,XL,Cyan,Winter,4.0,No,Express,Yes,Yes,2,Credit Card,Weekly
3087,40,Male,Sunglasses,Accessories,37,Alabama,L,Orange,Winter,5.0,No,Express,Yes,Yes,39,Debit Card,Monthly
2653,18,Male,Boots,Footwear,80,Mississippi,S,Teal,Fall,2.0,No,Express,Yes,Yes,15,Credit Card,Weekly
3794,26,Female,Skirt,Clothing,61,Pennsylvania,S,Indigo,Winter,4.0,Yes,2-Day Shipping,Yes,Yes,28,Debit Card,Monthly
1000,39,Female,Socks,Clothing,93,Maryland,S,Maroon,Winter,3.0,No,Express,Yes,Yes,28,Apple Pay,Monthly
3261,25,Male,Sneakers,Footwear,52,Washington,L,Olive,Summer,5.0,No,Free Shipping,Yes,Yes,23,Credit Card,Weekly
1533,19,Male,Skirt,Clothing,68,Kentucky,M,Turquoise,Winter,5.0,No,Express,Yes,Yes,4,Credit Card,Monthly
3834,35,Female,Hoodie,Clothing,70,Connecticut,XL,Purple,Spring,5.0,Yes,2-Day Shipping,Yes,Yes,14,Credit Card,Bi-Weekly
466,31,Male,Socks,Clothing,52,Mississippi,S,Gold,Winter,5.0,No,2-Day Shipping,Yes,Yes,2,Debit Card,Monthly
2616,48,Male,Shorts,Clothing,21,Texas,S,Pink,Spring,5.0,No,Express,Yes,Yes,27,PayPal,Monthly
3062,24,Female,Coat,Outerwear,54,New Hampshire,L,Gray,Summer,5.0,No,2-Day Shipping,Yes,Yes,30,Credit Card,Bi-Weekly
1574,47,Male,Hat,Accessories,48,Kansas,S,Brown,Spring,4.0,No,Free Shipping,Yes,Yes,24,Debit Card,Monthly
3521,28,Female,Belt,Accessories,84,New Jersey,XL,Peach,Spring,5.0,No,Express,Yes,Yes,20,Credit Card,Monthly
1173,57,Male,Sneakers,Footwear,22,Utah,S,Beige,Spring,5.0,Yes,Free Shipping,No,No,32,Apple Pay,Bi-Weekly
2219,55,Male,Boots,Footwear,73,Arkansas,XL,Silver,Fall,5.0,No,Free Shipping,No,No,33,PayPal,Monthly
2807,65,Female,Pants,Clothing,34,Louisiana,L,Blue,Spring,1.0,Yes,Express,Yes,Yes,5,Debit Card,Weekly
1130,68,Female,Sneakers,Footwear,36,New Jersey,L,Yellow,Spring,5.0,Yes,Next Day Air,Yes,Yes,31,PayPal,Monthly
3376,35,Male,Boots,Footwear,49,Utah,M,Blue,Fall,4.0,No,Free Shipping,Yes,Yes,30,Apple Pay,Monthly
150,67,Female,Backpack,Accessories,77,Montana,S,Peach,Winter,5.0,Yes,Free Shipping,Yes,Yes,17,Credit Card,Bi-Weekly
1054,51,Male,Jeans,Clothing,86,Ohio,M,Gold,Fall,5.0,No,Express,Yes,Yes,31,Credit Card,Annually
2309,62,Male,Pants,Clothing,51,Kentucky,M,Peach,Spring,4.0,No,Express,Yes,Yes,43,Credit Card,Monthly
391,49,Female,Backpack,Accessories,68,Virginia,M,Blue,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,38,Apple Pay,Annually
2151,67,Male,Sunglasses,Accessories,73,Maryland,L,Red,Spring,4.0,No,Express,Yes,Yes,32,Credit Card,Monthly
1328,25,Male,Jeans,Clothing,23,South Dakota,XL,Olive,Spring,1.0,Yes,Store Pickup,Yes,Yes,31,PayPal,Monthly
415,21,Male,Pants,Clothing,95,Indiana,L,Black,Fall,2.0,No,Free Shipping,Yes,Yes,36,Debit Card,Monthly
1589,67,Male,Jacket,Outerwear,74,Virginia,L,Maroon,Winter,5.0,No,Free Shipping,Yes,Yes,38,Debit Card,Monthly
716,23,Female,Scarf,Accessories,47,Utah,S,Silver,Fall,4.0,No,Standard,Yes,Yes,32,PayPal,Weekly
352,47,Female,Scarf,Accessories,77,Nebraska,L,Violet,Winter,5.0,Yes,Store Pickup,Yes,Yes,36,Credit Card,Bi-Weekly
3213,29,Female,Hoodie,Clothing,42,Nevada,L,Gold,Summer,4.0,No,Store Pickup,Yes,Yes,6,Credit Card,Annually
1835,68,Female,Jewelry,Accessories,56,Alabama,S,Blue,Spring,5.0,No,2-Day Shipping,Yes,Yes,32,Debit Card,Bi-Weekly
1766,65,Female,Boots,Footwear,93,Vermont,XL,Gold,Fall,3.0,No,Free Shipping,Yes,Yes,14,Debit Card,Monthly
1733,33,Female,Gloves,Accessories,97,North Dakota,S,Lavender,Winter,4.0,No,2-Day Shipping,Yes,Yes,12,Apple Pay,Monthly
2986,32,Male,Skirt,Clothing,89,Rhode Island,XL,Gray,Fall,5.0,No,Express,Yes,Yes,47,Apple Pay,Bi-Weekly
3714,18,Female,Jewelry,Accessories,47,New Hampshire,M,Olive,Fall,5.0,No,Next Day Air,Yes,Yes,35,Debit Card,Monthly
3705,66,Female,Socks,Clothing,61,Ohio,L,Teal,Winter,1.0,No,Free Shipping,Yes,Yes,31,Debit Card,Annually
